Type,Day,Amount
stat,02/22/2016,27
stat,01/25/2016,221
stat,02/01/2016,295
stat,02/08/2016,305
stat,02/15/2016,332
comm,02/22/2016,388
comm,01/25/2016,107
comm,02/01/2016,2352
comm,02/08/2016,2469
comm,02/15/2016,2346
