Type,Day,Amount
stat,01/18/2016,132
stat,01/25/2016,187
stat,02/01/2016,178
stat,02/08/2016,195
stat,02/15/2016,251
stat,02/22/2016,57
comm,01/18/2016,2207
comm,01/25/2016,3058
comm,02/01/2016,2833
comm,02/08/2016,3064
comm,02/15/2016,2964
comm,02/22/2016,605
