message,created_time,id
2016-02-23T04:39:40+0000,"Written by a Facebook member...a good read..........I've been thinking a lot about Donald Trump, people say that he doesn't have a platform, that he just wants to make America great again. I have something to say about that, Donald Trump is not telling you his plan he's giving you an outline. Why? Every time he brought something to the table, the other candidates take it and run. Such as immigration, the wall and other issues. I can guarantee you that he won't give you his full plans in detail until he's standing at the podium next to one of the Democrats. That is when he will reveal everything. He doesn't need to do that now. Donald Trump is a visionary. He doesn't go into business without a strategy, and a form of negotiation already set. This man is prepared in business and it will be prepared when the time is right in a debate. He is a brilliant man, and he will not reveal his hand. He doesn't have to, he has his supporters. They believe in him, they know he could be the commander in chief and lead this country in the right direction. As far as foreign policy, you say he lacks. What I say is he knows the economy, he knows the about taxes, trade, laws, foreign values, he knows that inside and out because he's dealt with them for so many years. Now if he hadn't been good with dealing with the foreign market, he wouldn't be the billionaire that he is now. He is a international brand. He knows leaders and foreign dignitaries. He is an economic genius with the skills to make this country great again. By bringing businesses back into this country and creating jobs. This will only help our economy. He would protect the United States from those who want to do us harm. He loves this country, and will do what he has to do to protect it. HE IS bold and brash, he says what he means and means what he says, and that is what we like about him so much. He will be a tough negotiator and our allies will know where he stands at all times. They know his word will mean something, and so will our enemies. This is a brilliant man who has focus and he is pragmatic. He knows how to solve problems quickly. He will surround himself with the best of the best in all branches of the government. You will not see our soldiers kneeling at the feet of Iranian, nor will you see Isis take over the world. You haven't seen the guy work yet. All you've seen is a businessman turned politician before your eyes. His supporters are standing shoulder to shoulder with him and will not sway. Lobbyist and special interest groups will no longer be able to line that pockets of our Congress and Senate. Because when they do, the Senators and congressmen will pass a bills and legislation and it will be a conflict of interest to the United States. No more will you have super PACs running this country. The media can ridicule Donald Trump and his supporters all they want, But we are digging in our heels. We will not be deterred. The fact of the matter is, you think Americans are stupid. But we are the backbone of this country. Americans will determine the vote, not the special special intetest groups or the lobbiests. They will finally understand clearly. Our voices will be heard. We will support our troops and build up our military and take care of our vets. Because this administration has not had their backs, nor have they listened to our top military leaders. No longer will our military hands be tied. He will secure our borders and revamp our visa program. He will do everything in his power to keep American safe. He will call our enemies by name, radicals jihadist. There will no longer be political correctness, for it is destroying our country and dividing us. Americans are finally pulling together as one, United we stand, shoulder to shoulder with Donald Trump #DONALDJTRUMP",498652540307651_498730866966485
2016-02-23T04:40:19+0000,Yes,498652540307651_498730950299810
2016-02-23T04:42:19+0000,They betray us.!,498652540307651_498731230299782
2016-02-23T04:44:18+0000,,498652540307651_498731373633101
2016-02-23T04:50:10+0000,no matter the people want andneed trump he best,498652540307651_498737116965860
2016-02-23T04:52:57+0000,Yes,498652540307651_498737546965817
2016-02-23T04:52:57+0000,"Donald Trump Is The Man  he is for all ever body, he knows how to bring jobs back home to the good old U.S.A..Donald Trump Is The Man. HE IS Brilliant,he is a Businessman,",498652540307651_498737553632483
2016-02-23T04:55:14+0000,Well Mr. Preibus... it will not be a brokered convention.. Donald J Trump will win the nomination and you all best damn well support him. If you don't.. then watch for a liberatarian vote next time.,498652540307651_498738480299057
2016-02-23T05:05:15+0000,I have been a life long Republican but if Trump goes so do I . Fact is I was dumping the Republican party before Mr Trump entered the race so I will stay a Republican to vote for him. If he goes there go I and many I know. Sick and tired of RINOS and sick of holding my nose voting lesser of two evils. The GOP had better take the cotton out of their ears and the blinders off their eyes America is sick of the politicians voting for their donors and not representing the will of the people.,498652540307651_498740196965552
2016-02-23T05:06:11+0000,people need to read the comments they tell it all,498652540307651_498740290298876
2016-02-23T05:07:03+0000,We the  people  want  Mr  Trump  for  president  to  make  America  great  again and we will not let the RNC tell us who to vote for..,498652540307651_498740343632204
2016-02-23T05:10:23+0000,This guy would not recognize the smell of shit if he worked for a Porta-Potty pick up service.,498652540307651_498740696965502
2016-02-23T05:13:32+0000,"I feel betrayed by the WASHINGTON PARTY....democrat, republican....ALL of them !!  We need a president who can't and WON'T be bought, I believe that man is Donald Trump",498652540307651_498741046965467
2016-02-23T05:14:43+0000,"All the horrible things that Hillary has done and she is still running for president and still beating Bernie with cheating. I think it dosn't matter if we vote or not. Hillary will get in, not because we vote for her but because the whole system is one big lie. I feel sorry for the people working so hard running for office and all the people who have donated to them.",498652540307651_498741200298785
2016-02-23T05:28:13+0000,"I first voted for Ronald Reagan, McCain was a disaster, who I also voted for. Romney I also voted for.  With the now speaker Paul Ryan, his center left ides was the end all. With that no more money to the RNC.  They have in no way what so ever conducted them selves in a conservative manner.  The crap that came out of Priebus mouth about Trump was ridiculous. And self destructive to the RNC.",498652540307651_498745206965051
2016-02-23T05:28:14+0000,"Thats BS...nobody feels betrayed more than the americasn tha live and work in a country whose president is a black fucking muslim....giving the country away and putting americans in harms way.....Obama Bin ladem must be stopped...impeached, whatever you call it...before the damage he does is permanent. Obama is a Traitor.",498652540307651_498745223631716
2016-02-23T05:39:26+0000,Just look at the facts: what have they done?,498652540307651_498747050298200
2016-02-23T05:51:11+0000,"This dipshit doesn't know his ass from a hole in the ground! Basically he is totally ignoring the 53%, that say they feel betrayed, as though they never said that. How can the Republican Party continue to call RINO's Republicans. We are not that stupid. We know the difference.",498652540307651_498749860297919
2016-02-23T05:55:46+0000,Yes.,498652540307651_498750943631144
2016-02-23T05:56:30+0000,"Absolute fact,, we all gave the GOP a landslide in the laast election and then they forgot who put them in and they turned all Rhino,, left the voter out in the dark,, no more,, the people are voted for who they want and it is not a politician.",498652540307651_498751060297799
2016-02-23T06:06:28+0000,DONALD TRUMP..........THE VOICE OF THE PEOPLE..........THE VOICE OF THE COMMON MAN...........not a PUPPET ON A STRING.,498652540307651_498752870297618
2016-02-23T06:12:49+0000,Can anyone tell me about his policies? Or how he is going to get building his wall through Congress? And if I hear executive order I'm going to assume you are stupid.,498652540307651_498755186964053
2016-02-23T03:30:09+0000,Sweet :p,498628900310015_498720043634234
2016-02-23T03:35:08+0000,"We The People , Want Trump.",498628900310015_498720820300823
2016-02-23T03:40:15+0000,,498628900310015_498721356967436
2016-02-23T03:42:48+0000,,498628900310015_498721840300721
2016-02-23T03:43:40+0000,"Vote trump
Copied and sharing 
Share this everywhere
Wow",498628900310015_498721946967377
2016-02-23T03:47:19+0000,Kaboom!!!! 🎉🎉🎉🎉,498628900310015_498722483633990
2016-02-23T03:47:49+0000,,498628900310015_498722546967317
2016-02-23T03:48:40+0000,,498628900310015_498722633633975
2016-02-23T03:49:30+0000,,498628900310015_498722736967298
2016-02-23T04:00:43+0000,,498628900310015_498724286967143
2016-02-23T04:00:57+0000,Fuck muslims...the only way is to kill them all.....no mid way,498628900310015_498724320300473
2016-02-23T04:10:48+0000,"I love the first part of the article.  ""You dont have to be a rocket scientist"". Did they mean a ""Barocket Hussein Obama scientist""? Get it? Get it? Ok, I thought it was funny.",498628900310015_498725190300386
2016-02-23T04:21:37+0000,Another one bites the dust !!! I love it,498628900310015_498728646966707
2016-02-23T04:22:25+0000,The stupid guy probably didn't know how to shot it.lol,498628900310015_498728713633367
2016-02-23T04:33:59+0000,So long shithead.,498628900310015_498730060299899
2016-02-23T06:13:37+0000,This guy... Is a special kind of stupid :|,498628900310015_498755240297381
2016-02-23T06:13:47+0000,,498628900310015_498755253630713
2016-02-23T12:31:36+0000,,498628900310015_498854770287428
2016-02-23T15:47:53+0000,Lmao couldn't of happened to a better person what a fucking idiot,498628900310015_498913833614855
2016-02-23T17:22:43+0000,One more off to paradise. Nice.,498628900310015_498941686945403
2016-02-23T03:00:11+0000,Cool  so much :p,498660340306871_498713520301553
2016-02-23T03:03:14+0000,I would not trust her to tell me the weather.,498660340306871_498714116968160
2016-02-23T03:09:40+0000,Hell no she a lier and cheater,498660340306871_498715213634717
2016-02-23T03:11:27+0000,cheat her way to the wh...so clinton like..,498660340306871_498715450301360
2016-02-23T03:15:47+0000,Crook wins again. Can anyone say rigged.,498660340306871_498718013634437
2016-02-23T03:18:17+0000,"Everything abut Hillary is a fraud, I don't understand why any woman or man for that matter would vote for her.  She couldn't control one man, how in the world would she control a country?",498660340306871_498718606967711
2016-02-23T03:34:56+0000,,498660340306871_498720773634161
2016-02-23T03:36:53+0000,sharing,498660340306871_498720963634142
2016-02-23T03:40:29+0000,Probably illegal aliens votes,498660340306871_498721383634100
2016-02-23T03:40:41+0000,She knows that is the only way she can win anything...by cheating..,498660340306871_498721403634098
2016-02-23T03:52:59+0000,TRUMP 2016! Take em to the House!!!!,498660340306871_498723270300578
2016-02-23T03:54:16+0000,"POS  LAIR,TRAITOR ,",498660340306871_498723420300563
2016-02-23T04:01:22+0000,stupid bitch,498660340306871_498724353633803
2016-02-23T04:13:21+0000,We all know if she were not running for President she would have been indicted by now.,498660340306871_498725556967016
2016-02-23T04:25:32+0000,Yes,498660340306871_498729043633334
2016-02-23T04:46:16+0000,I don't see how she winning with the percentage that's being posted on fb.I would love to see her an Trump go at it.That would blow all the t.v. channel out into outer space,498660340306871_498731540299751
